Date,City,Temperature,Description
2025-03-25,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-24,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-23,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-22,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-21,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-20,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-19,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-18,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-17,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-16,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-15,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-14,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-13,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-12,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-11,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-10,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-09,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-08,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-07,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-06,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
2025-03-05,Lagos,"35ʡC (3 Mar, 14:00)",Passing clouds.
